iter	MultiClass
0	1.032901949
1	0.976571116
2	0.925285961
3	0.8782683647
4	0.8357175323
5	0.7979538792
6	0.7621476722
7	0.7291520708
8	0.6985987741
9	0.6710332326
10	0.6451090172
11	0.6210985103
12	0.598733036
13	0.5776766702
14	0.5582409851
15	0.5399983046
16	0.5227166802
17	0.5059892775
18	0.4908961746
19	0.4766936219
20	0.4628243935
21	0.449158872
22	0.4372043721
23	0.4259670238
24	0.4147912937
25	0.4045961643
26	0.3950106737
27	0.3855959882
28	0.3762375863
29	0.3683177947
30	0.3601545754
31	0.3527091671
32	0.3456430354
33	0.339164301
34	0.332765451
35	0.3265528339
36	0.3204520123
37	0.3149225614
38	0.3095641506
39	0.3044641313
40	0.2995032066
41	0.2947471757
42	0.2904145465
43	0.286375948
44	0.2824512811
45	0.2784654696
46	0.2746512896
47	0.2707294067
48	0.26715363
49	0.2636782842
50	0.2606993945
51	0.2575548378
52	0.2546341126
53	0.2515619202
54	0.248858885
55	0.2462834889
56	0.2438756683
57	0.2413641368
58	0.2391474582
59	0.2369377605
60	0.2352991283
61	0.2330923711
62	0.2313434817
63	0.2294630743
64	0.2276431339
65	0.2258625856
66	0.2239720369
67	0.2220979442
68	0.2205389216
69	0.2189622945
70	0.2176121542
71	0.2159722827
72	0.2145338963
73	0.2132814452
74	0.211922142
75	0.2106978233
76	0.2094931574
77	0.208237048
78	0.2070889884
79	0.2058327088
80	0.2046981931
81	0.2035439701
82	0.2026289418
83	0.2018160907
84	0.2008775179
85	0.199993616
86	0.1990943525
87	0.1981284939
88	0.1972489685
89	0.1963687163
90	0.1954913668
91	0.1949043747
92	0.1941826823
93	0.1935225993
94	0.1928836871
95	0.1921326604
96	0.1913574052
97	0.1908589547
98	0.190361625
99	0.1897703478
100	0.1892985743
101	0.1889046384
102	0.1883622637
103	0.1878282425
104	0.1871819861
105	0.1865961657
106	0.1859547602
107	0.1855102885
108	0.1850362799
109	0.1847529557
110	0.1843825873
111	0.1840169269
112	0.1836529418
113	0.1831846649
114	0.1828619809
115	0.1824768434
116	0.1819685923
117	0.1816356667
118	0.181203148
119	0.1809183064
120	0.1805943677
121	0.1801752355
122	0.1797834692
123	0.1795152831
124	0.179249319
125	0.1789044299
126	0.1786803413
127	0.1784364142
128	0.1779646345
129	0.1777401284
130	0.177435742
131	0.177152284
132	0.1768326573
133	0.1765388451
134	0.1761979151
135	0.1759009751
136	0.1756311071
137	0.1753563468
138	0.1750110818
139	0.1747330874
140	0.1743844604
141	0.1741899558
142	0.173836984
143	0.1736755434
144	0.1734525375
145	0.17319044
146	0.1728584228
147	0.1726321012
148	0.1723047703
149	0.1721350819
150	0.1720187831
151	0.1717772625
152	0.1715763254
153	0.1713602621
154	0.1712003405
155	0.1709460277
156	0.1707285249
157	0.1705010688
158	0.1702790779
159	0.1701383173
160	0.1698996202
161	0.1697890376
162	0.1695858391
163	0.1694109882
164	0.1691339606
165	0.1689968663
166	0.1687832071
167	0.1686040112
168	0.1683930985
169	0.1681232384
170	0.1679955536
171	0.167750902
172	0.1675803429
173	0.167424509
174	0.1672154807
175	0.1669993688
176	0.166880673
177	0.1667374883
178	0.1665907865
179	0.1664070997
180	0.166318869
181	0.1661432216
182	0.1660136411
183	0.1659133537
184	0.1657464635
185	0.1656505522
186	0.1654869705
187	0.165379642
188	0.1652268218
189	0.1651060205
190	0.1650179886
191	0.164847822
192	0.1647674167
