iter	Passed	Remaining
0	1	953
1	3	972
2	5	904
3	7	912
4	9	909
5	11	971
6	13	968
7	16	1002
8	18	992
9	19	979
10	21	946
11	22	929
12	24	921
13	26	921
14	28	924
15	30	937
16	33	939
17	34	932
18	36	923
19	38	912
20	40	920
21	42	917
22	44	919
23	46	916
24	48	921
25	50	920
26	52	922
27	54	926
28	56	920
29	58	918
30	60	916
31	62	918
32	64	912
33	66	908
34	67	902
35	70	902
36	71	898
37	73	898
38	76	898
39	77	894
40	79	888
41	80	882
42	82	877
43	84	874
44	86	872
45	88	871
46	90	869
47	92	869
48	94	868
49	96	864
50	98	863
51	99	859
52	102	861
53	103	858
54	106	858
55	107	855
56	109	853
57	111	849
58	113	845
59	115	843
60	116	839
61	118	837
62	120	836
63	122	836
64	124	835
65	126	831
66	128	829
67	130	828
68	132	824
69	133	820
70	135	817
71	136	814
72	138	812
73	141	811
74	142	809
75	145	812
76	147	811
77	149	809
78	151	809
79	154	808
80	156	810
81	158	807
82	160	806
83	162	805
84	164	804
85	166	802
86	168	802
87	170	799
88	172	797
89	174	794
90	176	791
91	178	790
92	180	788
93	182	789
94	184	785
95	186	783
96	188	781
97	190	781
98	192	779
99	194	777
100	196	777
101	198	775
102	200	774
103	202	772
104	204	769
105	206	766
106	208	765
107	210	763
108	212	762
109	214	760
110	217	761
111	219	759
112	220	756
113	222	754
114	224	752
115	226	751
116	228	749
117	230	747
118	232	744
119	234	741
120	236	739
121	238	738
122	240	736
123	242	734
124	244	734
125	246	731
126	248	729
127	249	726
128	252	724
129	253	722
130	255	719
131	257	717
132	258	714
133	260	712
134	262	710
135	264	708
136	266	707
137	268	704
138	270	702
139	272	701
140	275	700
141	277	698
142	278	696
143	280	693
144	282	690
145	283	688
146	285	685
147	287	683
148	289	681
149	291	679
150	293	678
151	295	677
152	297	675
153	299	673
154	301	670
155	303	668
156	304	665
157	306	664
158	308	661
159	310	660
160	312	658
161	314	656
162	316	653
163	318	651
164	320	650
165	323	650
166	325	648
167	326	645
168	327	642
169	330	640
170	331	637
171	333	635
172	334	633
173	337	631
174	339	630
175	341	628
176	343	626
177	345	624
178	347	622
179	349	620
180	351	619
181	353	617
182	355	615
183	356	612
184	358	610
185	360	608
186	362	606
187	363	604
188	366	602
189	368	600
190	369	598
191	371	595
192	373	594
193	375	591
194	376	589
195	378	587
196	380	585
197	382	583
198	384	581
199	386	579
200	387	576
201	389	574
202	391	572
203	393	570
204	395	569
205	397	567
206	400	566
207	401	564
208	403	561
209	405	560
210	407	558
211	409	556
212	411	554
213	413	552
214	415	550
215	417	548
216	419	546
217	421	544
218	423	542
219	425	541
220	426	538
221	428	537
222	431	535
223	432	533
224	434	531
225	436	529
226	438	527
227	440	525
228	442	523
229	444	521
230	445	519
231	447	517
232	449	515
233	452	513
234	454	512
235	456	510
236	458	508
237	460	506
238	462	504
239	463	502
240	465	500
241	467	498
242	468	495
243	470	493
244	472	491
245	473	489
246	475	486
247	477	485
248	479	483
249	481	481
250	483	479
251	485	477
252	486	475
253	489	473
254	491	471
255	493	470
256	495	468
257	497	466
258	499	464
259	501	462
260	503	460
261	505	458
262	507	456
263	508	454
264	510	452
265	512	450
266	515	449
267	516	447
268	518	445
269	520	443
270	522	441
271	524	439
272	526	437
273	527	435
274	529	433
275	531	431
276	533	429
277	535	427
278	537	425
279	539	423
280	541	422
281	544	420
282	546	418
283	547	416
284	549	414
285	550	412
286	552	409
287	553	407
288	555	405
289	557	403
290	559	401
291	561	399
292	563	397
293	565	396
294	567	394
295	569	392
296	571	390
297	573	388
298	575	386
299	577	384
300	578	382
301	580	380
302	582	378
303	583	376
304	585	374
305	587	372
306	588	370
307	590	367
308	592	366
309	594	364
310	596	362
311	598	360
312	600	358
313	602	356
314	604	355
315	606	353
316	608	351
317	610	349
318	612	347
319	614	345
320	616	343
321	617	341
322	620	340
323	622	338
324	624	336
325	625	333
326	627	331
327	629	330
328	631	328
329	632	325
330	633	323
331	635	321
332	637	319
333	638	317
334	640	315
335	642	313
336	644	311
337	645	309
338	647	307
339	649	305
340	651	303
341	654	302
342	655	300
343	657	298
344	659	296
345	661	294
346	662	292
347	664	290
348	666	288
349	668	286
350	670	284
351	672	282
352	674	280
353	675	278
354	677	276
355	678	274
356	680	272
357	681	270
358	684	268
359	686	266
360	688	265
361	690	263
362	692	261
363	694	259
364	696	257
365	697	255
366	699	253
367	701	251
368	703	249
369	705	247
370	707	246
371	709	244
372	711	242
373	713	240
374	715	238
375	717	236
376	719	234
377	721	232
378	723	230
379	724	228
380	726	226
381	727	224
382	728	222
383	730	220
384	732	218
385	734	216
386	736	215
387	738	213
388	740	211
389	742	209
390	744	207
391	746	205
392	747	203
393	749	201
394	751	199
395	752	197
396	755	195
397	757	194
398	759	192
399	761	190
400	763	188
401	765	186
402	767	184
403	769	182
404	771	180
405	773	179
406	775	177
407	777	175
408	778	173
409	780	171
410	782	169
411	783	167
412	786	165
413	788	163
414	790	161
415	791	159
