pitcher_id,pitcher_name,batter_id,pitcher_hand,batter_hand,release_speed,pitch_type,plate_x,plate_z,pfx_x,pfx_z,balls,strikes,events,description,sz_top,sz_bot,arm_angle,swing_status,swing_outcome,bbe_outcome,plat_adv,pitch_group,batter_name
678226,"Hernández, Daysbel",502054,R,R,89.6,SL,0.93,2.03,0.39,-0.18,1,2,strikeout,swinging_strike,3.52,1.65,38.8,swing,whiff,out,1,SL,"Pham, Tommy"
678226,"Hernández, Daysbel",502054,R,R,88.6,SL,1.77,1.52,0.28,-0.03,0,2,,ball,3.46,1.6,39.7,take,whiff,out,1,SL,"Pham, Tommy"
678226,"Hernández, Daysbel",502054,R,R,85.2,SL,-0.01,1.79,0.44,-0.21,0,2,,foul,3.52,1.65,35.6,swing,foul,out,1,SL,"Pham, Tommy"
678226,"Hernández, Daysbel",502054,R,R,87.8,SL,1.26,1.92,0.11,-0.2,0,1,,swinging_strike,3.52,1.65,36.0,swing,whiff,out,1,SL,"Pham, Tommy"
678226,"Hernández, Daysbel",502054,R,R,88.1,SL,-0.35,3.34,0.21,0.16,0,0,,called_strike,3.48,1.62,37.6,take,whiff,out,1,SL,"Pham, Tommy"
656550,"Holmes, Grant",502054,R,R,92.5,FC,0.45,3.04,0.04,1.0,0,1,field_out,hit_into_play,3.52,1.65,36.8,swing,bip,out,1,FC,"Pham, Tommy"
656550,"Holmes, Grant",502054,R,R,93.1,FF,0.76,2.19,-0.6,1.24,0,0,,called_strike,3.42,1.57,41.0,take,whiff,out,1,FF,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,80.2,CU,-0.31,1.69,1.53,-0.75,1,2,field_out,hit_into_play,3.52,1.65,19.5,swing,bip,out,1,CU,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,80.0,CU,1.63,1.01,1.53,-0.85,0,2,,ball,3.46,1.57,19.8,take,whiff,out,1,CU,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,85.2,CH,-0.05,1.94,-1.44,0.09,0,1,,swinging_strike,3.52,1.65,21.5,swing,whiff,out,1,CH,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,80.8,CU,-0.72,2.65,1.33,-0.69,0,0,,called_strike,3.42,1.64,24.6,take,whiff,out,1,CU,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,95.0,FF,0.09,1.99,-1.1,0.88,0,1,double,hit_into_play,3.52,1.65,22.1,swing,bip,double,1,FF,"Pham, Tommy"
450203,"Morton, Charlie",502054,R,R,94.4,FF,0.1,2.93,-0.95,0.86,0,0,,called_strike,3.45,1.59,20.9,take,whiff,out,1,FF,"Pham, Tommy"
686580,"Slaten, Justin",666185,R,L,96.7,FF,0.04,2.97,-0.27,1.71,0,1,single,hit_into_play,3.45,1.63,57.9,swing,bip,single,0,FF,"Carlson, Dylan"
686580,"Slaten, Justin",666185,R,L,94.0,FC,0.41,1.52,0.12,0.81,0,0,,swinging_strike,3.45,1.63,49.9,swing,whiff,out,0,FC,"Carlson, Dylan"
670174,"Winckowski, Josh",666185,R,L,92.3,FC,0.93,1.25,0.11,0.46,2,2,strikeout,swinging_strike,3.45,1.63,55.6,swing,whiff,out,0,FC,"Carlson, Dylan"
670174,"Winckowski, Josh",666185,R,L,95.0,FF,-0.03,5.2,-0.62,1.25,1,2,,ball,3.31,1.55,51.0,take,whiff,out,0,FF,"Carlson, Dylan"
670174,"Winckowski, Josh",666185,R,L,91.3,FC,-0.33,3.2,-0.02,0.76,1,1,,called_strike,3.28,1.44,54.2,take,whiff,out,0,FC,"Carlson, Dylan"
670174,"Winckowski, Josh",666185,R,L,94.8,FF,0.2,4.6,-0.46,1.45,0,1,,ball,3.31,1.47,52.7,take,whiff,out,0,FF,"Carlson, Dylan"
670174,"Winckowski, Josh",666185,R,L,92.1,FC,-0.4,3.32,0.27,0.77,0,0,,called_strike,3.32,1.56,46.4,take,whiff,out,0,FC,"Carlson, Dylan"
682990,"Priester, Quinn",666185,R,L,91.4,CH,0.21,2.43,-1.17,0.56,1,1,single,hit_into_play,3.45,1.63,40.6,swing,bip,single,0,CH,"Carlson, Dylan"
682990,"Priester, Quinn",666185,R,L,82.1,CU,0.58,0.94,0.59,-0.97,0,1,,ball,3.29,1.63,45.3,take,whiff,out,0,CU,"Carlson, Dylan"
682990,"Priester, Quinn",666185,R,L,81.9,CU,-0.12,2.64,0.48,-0.38,0,0,,called_strike,3.27,1.39,46.5,take,whiff,out,0,CU,"Carlson, Dylan"
682990,"Priester, Quinn",666185,R,L,93.5,FF,0.51,2.28,0.07,1.08,2,1,single,hit_into_play,3.45,1.63,41.6,swing,bip,single,0,FF,"Carlson, Dylan"
682990,"Priester, Quinn",666185,R,L,87.4,SL,0.35,1.36,0.41,0.16,1,1,,ball,3.36,1.51,41.0,take,whiff,out,0,SL,"Carlson, Dylan"
